estado,via,familia,n_comparados,peor_abs,cota_en_el_peor,cociente,fuera_de_cota,calza,donde
E3,2,estaciones N..Mz,19350,2.250000e-04,2.800000e-04,8.035714e-01,0,True,elemento 212 Vz(x=0.6250)
E3,3,estaciones N..Mz,19350,2.250000e-04,2.800000e-04,8.035714e-01,0,True,elemento 212 Vz(x=0.6250)
E3,2,D/C P,138,1.000000e-04,2.800000e-04,3.571429e-01,0,True,elemento 522 P
E3,3,D/C P,138,1.000000e-04,2.800000e-04,3.571429e-01,0,True,elemento 522 P
E3,2,D/C M,138,1.982578e-04,3.752691e-04,5.283084e-01,0,True,elemento 25 M
E3,3,D/C M,138,1.982578e-04,3.752691e-04,5.283084e-01,0,True,elemento 25 M
E3,2,D/C M fuera de plano,138,1.000000e-04,2.800000e-04,3.571429e-01,0,True,elemento 522 M fuera
E3,3,D/C M fuera de plano,138,1.000000e-04,2.800000e-04,3.571429e-01,0,True,elemento 522 M fuera
E3,2,D/C Mn,138,5.475262e-05,6.278009e-05,8.721335e-01,0,True,elemento 9 Mn
E3,3,D/C Mn,138,5.475262e-05,6.278009e-05,8.721335e-01,0,True,elemento 9 Mn
E3,2,D/C u,138,4.840258e-07,5.331806e-07,9.078084e-01,0,True,elemento 465 u
E3,3,D/C u,138,4.840258e-07,5.331806e-07,9.078084e-01,0,True,elemento 465 u
E3,2,D/C = dc.revisar,690,4.997132e-05,5.000000e-05,9.994264e-01,0,True,elemento 46 M
E3,superposicion,reacciones,438,1.800000e-04,2.300000e-04,7.826087e-01,0,True,nodo 191 my
